mls_number,feed,address,listing_agent,listing_date,status,notes
253256,CMC,"727 W Spruce Ave Unit B, North Wildwood",Nicolette Gorski,2025-11-02,Active,Live on Zillow & Realtor.com with traffic; returns zero in GetMetricsByOrganization
252332,CMC,511 E 11th Avenue,Nicolette Gorski,2025-08-01,Active,Same building as units that DO report (252252/252254)
252334,CMC,511 E 11th Avenue,Nicolette Gorski,2025-08-01,Active,Same building as units that DO report
261228,CMC,511 E 11th Avenue,Nicolette Gorski,2026-05-06,Active,Same building as units that DO report
253282,CMC,W Memphis Avenue,Charles Dahmer III,2025-11-06,Active,
253321,CMC,809 Turnberry Court,Rose Agostini,2025-11-12,Active,
260497,CMC,130 W Andrews Avenue,Barbara Hunt,2026-03-05,Active,
260518,CMC,430 N Route 9,Nicolette Gorski,2026-03-02,Active,
260567,CMC,410 E Lavender Road,Nicolette Gorski,2026-03-06,Active,
260570,CMC,618 W Burk Avenue,William Joseph Griffin,2026-03-09,Active,
260592,CMC,506 West Hampton Court,Hollie Ingham,2026-03-11,Active,
260666,CMC,10 Empire Drive,Scot Jones,2026-03-16,Active,
260718,CMC,184 W Oak Avenue,Judith Suder,2026-03-22,Active,
260832,CMC,101 W Spruce Avenue,John J. Koch,2026-04-02,Active,
261094,CMC,110 W Garfield Avenue,Nicolette Gorski,2026-04-24,Active,
261133,CMC,35 Route 47 South,Carlotta L. Ackley,2026-04-27,Active,
261169,CMC,220 Village Road,John J. Koch,2026-05-01,Active,
