sitename,sitetype,listings,favorites,gallery,shares,views,vtour
Zillow.com,Zillow.com,30,0,0,0,35934,0
Realtor.com,Realtor.com,13,0,0,0,11066,0
Trulia,Trulia,30,0,0,0,3438,0
CoreLogic - OneHome,MLS,9,7,0,0,524,0
RE/MAX.com,IDX,22,0,0,0,292,0
Coldwell Banker,IDX,13,1,0,0,212,0
Moxi Works,IDX,9,0,0,3,189,0
century21.com,IDX,7,2,78,0,164,0
BHHS.com,IDX,2,0,0,0,149,0
Luxury Presence,IDX,18,0,0,0,110,0
RealistiQ,IDX,1,0,0,0,72,0
Constellation,IDX,7,0,0,0,49,0
Real Geeks,IDX,12,0,0,0,48,0
IDC Global,IDX,12,0,5,0,41,0
Properstar,Portals,6,0,9,0,33,0
Inside Real Estate,IDX,8,0,0,0,31,0
Reliance Network,IDX,9,0,0,0,30,0
Corcoran.com,IDX,8,0,0,0,30,0
TRIAD - MLS,MLS,1,0,0,0,29,0
FlexMLS,MLS,1,0,4,0,26,0
REMAX.com,IDX,9,0,0,0,20,0
Weichert,IDX,2,0,0,0,20,0
Sierra Interactive LLC,IDX,5,0,0,0,14,0
AgentFire,IDX,7,0,0,0,14,0
Placester Inc,IDX,3,0,2,0,13,0
Ylopo,IDX,3,0,0,0,10,0
SaleCORE,IDX,1,0,0,0,10,0
NRT,IDX,6,0,0,0,8,0
EVRealEstate.com,IDX,3,0,0,0,6,0
Lands of America,Portals,1,0,0,0,6,0
Ihomefinder Inc.,IDX,1,0,0,0,6,0
Gabriels Technology Solutions,IDX,5,0,0,0,5,0
LeadingRE.com,IDX,2,0,0,0,5,0
Property Panorama,IDX,2,0,0,0,4,3
propgoluxury.com,IDX,3,0,0,0,3,0
Smarter Agent,IDX,1,0,0,0,3,0
Financial Times,Portals,2,0,0,0,2,0
BHGRE.com,IDX,2,0,0,0,2,0
Xome,IDX,1,0,0,0,2,0
Showcase IDX,IDX,1,0,0,0,2,0
CBCworldwide.com,IDX,1,0,0,0,2,0
century21global.com,IDX,1,0,0,0,1,0
Delta Media Group Inc.,IDX,1,0,0,0,1,0
iHouseWeb,IDX,1,0,0,0,1,0
Online Connexions,IDX,1,0,0,0,1,0
Xome.com,MLS,1,0,0,0,1,0
Real Estate Digital - MLS Portal,MLS,1,0,0,0,1,0
Union Street Media,IDX,1,0,0,0,1,0
CINC,IDX,1,0,0,0,1,0
